timestamp,open,high,low,close,volume
2024-01-15T08:00:00+00:00,1.09539,1.09585,1.09536,1.09568,122
2024-01-15T08:01:00+00:00,1.09567,1.09581,1.0956,1.0957,121
2024-01-15T08:02:00+00:00,1.0957,1.09582,1.09566,1.09582,111
2024-01-15T08:03:00+00:00,1.09579,1.0961,1.09579,1.09602,106
2024-01-15T08:04:00+00:00,1.09602,1.09613,1.09593,1.09596,116
2024-01-15T08:05:00+00:00,1.09593,1.09616,1.09593,1.09601,82
2024-01-15T08:06:00+00:00,1.09603,1.09603,1.09586,1.09593,97
2024-01-15T08:07:00+00:00,1.09592,1.096,1.09579,1.09579,83
2024-01-15T08:08:00+00:00,1.0958,1.096,1.0958,1.09599,72
2024-01-15T08:09:00+00:00,1.09603,1.0963,1.09603,1.0962,121
2024-01-15T08:10:00+00:00,1.09617,1.0962,1.0961,1.0962,106
2024-01-15T08:11:00+00:00,1.09619,1.09634,1.09617,1.09634,99
2024-01-15T08:12:00+00:00,1.09633,1.09642,1.0961,1.09613,109
2024-01-15T08:13:00+00:00,1.09614,1.09617,1.09604,1.09612,81
2024-01-15T08:14:00+00:00,1.09614,1.09634,1.09613,1.0963,78
2024-01-15T08:15:00+00:00,1.09628,1.09638,1.09627,1.09634,39
2024-01-15T08:16:00+00:00,1.09636,1.0964,1.096,1.09601,63
2024-01-15T08:17:00+00:00,1.09602,1.09614,1.0959,1.0961,85
2024-01-15T08:18:00+00:00,1.0961,1.0962,1.09604,1.09608,97
2024-01-15T08:19:00+00:00,1.09605,1.09613,1.09602,1.0961,79
2024-01-15T08:20:00+00:00,1.09607,1.09608,1.0959,1.09604,90
2024-01-15T08:21:00+00:00,1.09604,1.0962,1.09598,1.09615,80
2024-01-15T08:22:00+00:00,1.09616,1.0962,1.09603,1.09606,76
2024-01-15T08:23:00+00:00,1.09604,1.09614,1.09599,1.09613,89
2024-01-15T08:24:00+00:00,1.09614,1.09644,1.09614,1.09636,63
2024-01-15T08:25:00+00:00,1.09638,1.09652,1.09632,1.09634,89
2024-01-15T08:26:00+00:00,1.09632,1.09636,1.0962,1.09634,52
2024-01-15T08:27:00+00:00,1.09634,1.0964,1.09621,1.0963,74
2024-01-15T08:28:00+00:00,1.0963,1.0963,1.09612,1.09616,88
2024-01-15T08:29:00+00:00,1.09619,1.0963,1.09619,1.09624,83
2024-01-15T08:30:00+00:00,1.09624,1.0963,1.0959,1.0959,119
2024-01-15T08:31:00+00:00,1.0959,1.0961,1.09582,1.09598,124
2024-01-15T08:32:00+00:00,1.09598,1.096,1.09582,1.09584,74
2024-01-15T08:33:00+00:00,1.09584,1.09594,1.0958,1.09585,96
2024-01-15T08:34:00+00:00,1.09584,1.09585,1.09569,1.09584,96
2024-01-15T08:35:00+00:00,1.09584,1.0959,1.09579,1.09585,78
2024-01-15T08:36:00+00:00,1.09586,1.09592,1.09579,1.0958,91
2024-01-15T08:37:00+00:00,1.09579,1.09586,1.09576,1.09585,98
2024-01-15T08:38:00+00:00,1.09584,1.09595,1.09579,1.09595,80
2024-01-15T08:39:00+00:00,1.09594,1.09615,1.09589,1.09605,71
2024-01-15T08:40:00+00:00,1.09604,1.09604,1.09594,1.09601,122
2024-01-15T08:41:00+00:00,1.09602,1.09604,1.09582,1.09582,89
2024-01-15T08:42:00+00:00,1.0958,1.0959,1.09579,1.0959,92
