instrument,ts,bid,ask
EUR_USD,1640000000.0,1.0849199999999999,1.08508
EUR_USD,1640000005.0,1.0850776541922753,1.0852376541922755
EUR_USD,1640000010.0,1.0852101735398227,1.085370173539823
EUR_USD,1640000015.0,1.0853737556119512,1.0855337556119513
EUR_USD,1640000020.0,1.0855229064272345,1.0856829064272346
EUR_USD,1640000025.0,1.0856775700904464,1.0858375700904466
EUR_USD,1640000030.0,1.0858086714941284,1.0859686714941286
EUR_USD,1640000035.0,1.085974680455108,1.0861346804551082
EUR_USD,1640000040.0,1.0861082006886562,1.0862682006886564
EUR_USD,1640000045.0,1.0862836842864496,1.0864436842864498
EUR_USD,1640000050.0,1.0864063296850834,1.0865663296850836
EUR_USD,1640000055.0,1.086582866632392,1.0867428666323922
EUR_USD,1640000060.0,1.0867294196659092,1.0868894196659094
EUR_USD,1640000065.0,1.0868857874932605,1.0870457874932606
EUR_USD,1640000070.0,1.0870294281383457,1.0871894281383458
EUR_USD,1640000075.0,1.0871661858304316,1.0873261858304317
EUR_USD,1640000080.0,1.0873328566534612,1.0874928566534614
EUR_USD,1640000085.0,1.087462595952581,1.0876225959525812
EUR_USD,1640000090.0,1.0876398773570375,1.0877998773570376
EUR_USD,1640000095.0,1.08778755188885,1.0879475518888502
EUR_USD,1640000100.0,1.087923819864996,1.0880838198649962
EUR_USD,1640000105.0,1.088061475493222,1.0882214754932222
EUR_USD,1640000110.0,1.0882110483734981,1.0883710483734983
EUR_USD,1640000115.0,1.088350792767058,1.088510792767058
EUR_USD,1640000120.0,1.0885142193904707,1.0886742193904708
EUR_USD,1640000125.0,1.084165717157854,1.0843257171578542
EUR_USD,1640000130.0,1.0841307903491233,1.0842907903491235
EUR_USD,1640000135.0,1.0841124887578013,1.0842724887578015
EUR_USD,1640000140.0,1.0840842333786371,1.0842442333786373
EUR_USD,1640000145.0,1.0840474672088038,1.084207467208804
