instrument,ts,bid,ask
USD_JPY,1640000000.0,110.485,110.515
USD_JPY,1640000002.0,110.46437605471345,110.49437605471346
USD_JPY,1640000004.0,110.43963070778835,110.46963070778835
USD_JPY,1640000006.0,110.40926103273482,110.43926103273482
USD_JPY,1640000008.0,110.38201426508836,110.41201426508836
USD_JPY,1640000010.0,110.35755496648841,110.38755496648841
USD_JPY,1640000012.0,110.33627640379112,110.36627640379112
USD_JPY,1640000014.0,110.31408469463307,110.34408469463307
USD_JPY,1640000016.0,110.28676110339435,110.31676110339436
USD_JPY,1640000018.0,110.26324016209647,110.29324016209647
USD_JPY,1640000020.0,110.23310830716346,110.26310830716346
USD_JPY,1640000022.0,110.2135540995741,110.2435540995741
USD_JPY,1640000024.0,110.18235981899299,110.212359818993
USD_JPY,1640000026.0,110.15737493443056,110.18737493443057
USD_JPY,1640000028.0,110.1368368568739,110.1668368568739
USD_JPY,1640000030.0,110.11338645030516,110.14338645030516
USD_JPY,1640000032.0,110.08656928148254,110.11656928148254
USD_JPY,1640000034.0,110.06239410492176,110.09239410492177
USD_JPY,1640000036.0,110.03523262318917,110.06523262318917
USD_JPY,1640000038.0,110.0051436407925,110.0351436407925
